Previous name,Current name,Index,Changed?,Comment
Memorial Hermann Hospital,Memorial Hermann Hospital,2233,,
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,2234,,
Men's Health Boston,Men's Health Boston,2235,,
Menlo Therapeutics Inc.,Menlo Therapeutics Inc.,2236,,
"MenoGeniX, Inc.","MenoGeniX, Inc.",2237,,
"Mercator MedSystems, Inc.","Mercator MedSystems, Inc.",2238,,
Merck KGaA,Merck KGaA,2239,,
Merck KGaA/EMD Serono,Merck KGaA,2239,Changed,
Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,2240,,
Merck Women's Health Investigator Initiated Studies Program,Merck Women's Health Investigator Initiated Studies Program,2241,,
Mercy Health Ohio,Mercy Health Ohio,2242,,
Mereo BioPharma,Mereo BioPharma,2243,,
"Meridigen Biotech Co., Ltd.","Meridigen Biotech Co., Ltd.",2244,,
Merrimack Pharmaceuticals,Merrimack Pharmaceuticals,2245,,
Mersana Therapeutics,Mersana Therapeutics,2246,,
Merus N.V.,Merus N.V.,2247,,
"Meryx, Inc.","Meryx, Inc.",2248,,
"Mesoblast, Inc.",Mesoblast,2249,Changed,
"Mesoblast, Ltd.",Mesoblast,2249,Changed,
Metagone Biotech Inc.,Metagone Biotech Inc.,2250,,
"Metro Health, Michigan","Metro Health, Michigan",2251,,
MetroHealth Medical Center,MetroHealth Medical Center,2252,,
Metropolitan Eye Research & Surgery Institute,Metropolitan Eye Research & Surgery Institute,2253,,
Mezzion Pharma Co. Ltd,Mezzion Pharma Co. Ltd,2254,,
"MiMedx Group, Inc.","MiMedx Group, Inc.",2255,,
Miami Cancer Institute,Miami Cancer Institute,2256,,
"Michael B. Atkins, MD","Michael B. Atkins, MD",2257,,Doctor
Michael Boyiadzis,Michael Boyiadzis,2258,,Doctor
"Michael C Roarke, MD","Michael C Roarke, MD",2259,,Doctor
Michael Camilleri,Michael Camilleri,2260,,Doctor
Michael Choi,Michael Choi,2261,,Doctor
Michael Cotten,Michael Cotten,2262,,Doctor
Michael Debakey Veterans Affairs Medical Center,Michael Debakey Veterans Affairs Medical Center,2263,,
Michael Donnino,Michael Donnino,2264,,Doctor
Michael Graham,Michael Graham,2265,,Doctor
"Michael Irwin, MD","Michael Irwin, MD",2266,,Doctor
Michael Iv,Michael Iv,2267,,Doctor
Michael J. Fox Foundation for Parkinson's Research,Michael J. Fox Foundation for Parkinson's Research,2268,,
Michael Keller,Michael Keller,2269,,Doctor
Michael Kovacs,Michael Kovacs,2270,,Doctor
Michael Lin,Michael Lin,2271,,Doctor
"Michael Marchand, MD","Michael Marchand, MD",2272,,Doctor
Michael McHale,Michael McHale,2273,,Doctor
"Michael Morse, MD","Michael Morse, MD",2274,,Doctor
"Michael Pulsipher, MD","Michael Pulsipher, MD",2275,,Doctor
Michael Roth,Michael Roth,2276,,Doctor
Michael Simon,Michael Simon,2277,,Doctor
"Michael Vogelbaum, MD, PhD","Michael Vogelbaum, MD, PhD",2278,,Doctor
Michael Zuscik,Michael Zuscik,2279,,Doctor
Michaela Liedtke,Michaela Liedtke,2280,,
Michelle Ludwig,Michelle Ludwig,2281,,
Michelle Weckmann,Michelle Weckmann,2282,,
Michigan Institute for Clinical and Health Research (MICHR),Michigan Institute for Clinical and Health Research (MICHR),2283,,
Michigan Public Health Departments,Michigan Public Health Departments,2284,,
Michigan State University,Michigan State University,2285,,University
MicroConstants,MicroConstants,2286,,
Microbicide Trials Network,Microbicide Trials Network,2287,,
Microbio Co Ltd,Microbio Co Ltd,2288,,
Microbiome Health Research Institute,Microbiome Health Research Institute,2289,,
Microbion Corporation,Microbion Corporation,2290,,
Mid America Heart Institute,Mid America Heart Institute,2291,,
Mid Atlantic Retina,Mid Atlantic Retina,2292,,
MidAtlantic Retina,Mid Atlantic Retina,2292,Changed,
Midatech Pharma US Inc.,Midatech Pharma US Inc.,2293,,
"Midland Research Group, Inc.","Midland Research Group, Inc.",2294,,
"Midwest Athletes Against Childhood Cancer, Inc. (MACC Fund)","Midwest Athletes Against Childhood Cancer, Inc. (MACC Fund)",2295,,
Midwest Center for Metabolic and Cardiovascular Research,Midwest Center for Metabolic and Cardiovascular Research,2296,,
Midwestern Regional Medical Center,Midwestern Regional Medical Center,2297,,
Mike O'Callaghan Military Hospital,Mike O'Callaghan Military Hospital,2298,,
Milestone Pharmaceuticals Inc.,Milestone Pharmaceuticals Inc.,2299,,
"Millendo Therapeutics, Inc.","Millendo Therapeutics, Inc.",2300,,
"Millennium Pharmaceuticals, Inc.","Millennium Pharmaceuticals, Inc.",2301,,
Millennium: The Takeda Oncology Company,Millennium: The Takeda Oncology Company,2302,,
Miltenyi Biotec GmbH,Miltenyi Biotec,2303,Changed,
"Miltenyi Biotec, Inc.",Miltenyi Biotec,2303,Changed,
Milton S. Hershey Medical Center,Milton S. Hershey Medical Center,2304,,
"Mina Chung, MD","Mina Chung, MD",2305,,Doctor
Minerva Neurosciences,Minerva Neurosciences,2306,,Doctor
"Minerva Romero Arenas, MD, MPH","Minerva Romero Arenas, MD, MPH",2307,,Doctor
"MingSight Pharmaceuticals, Inc.","MingSight Pharmaceuticals, Inc.",2308,,
Mingyang Song,Mingyang Song,2309,,
Mingzhi Zhang,Mingzhi Zhang,2310,,
Minia University,Minia University,2311,,University
"Ministry of Health and Sanitation, Sierra Leone","Ministry of Health and Sanitation, Sierra Leone",2312,,
"Ministry of Public Health, Democratic Republic of the Congo","Ministry of Public Health, Democratic Republic of the Congo",2313,,
Minneamrita Therapeutics LLC,Minneamrita Therapeutics LLC,2314,,
Minneapolis Heart Institute Foundation,Minneapolis Heart Institute Foundation,2315,,
Minneapolis Medical Research Foundation,Minneapolis Medical Research Foundation,2316,,
"Minnesota Gastroenterology, P.A.","Minnesota Gastroenterology, P.A.",2317,,
"Minoryx Therapeutics, S.L.","Minoryx Therapeutics, S.L.",2318,,
Minsk State Clinical Hospital No 9,Minsk State Clinical Hospital No 9,2319,,
Mipharm S.p.A.,Mipharm S.p.A.,2320,,
Mirati Therapeutics Inc.,Mirati Therapeutics Inc.,2321,,
"Miriam Vos, MD","Miriam Vos, MD",2322,,Doctor
Mishaela Rubin,Mishaela Rubin,2323,,
Mission Pharmacal,Mission Pharmacal,2324,,
Mitchell S Elkind,Mitchell S Elkind,2325,,
MitoQ Ltd,MitoQ Ltd,2326,,
Mitre Medical Corp.,Mitre Medical Corp.,2327,,
Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe Pharm,2328,Changed,
"Mitsubishi Tanabe Pharma Development America, Inc.",Mitsubishi Tanabe Pharm,2328,Changed,
Moahad S Dar,Moahad S Dar,2329,,
Moberg Pharma AB,Moberg Pharma AB,2330,,
Model Clinical Research LLC,Model Clinical Research LLC,2331,,
Moderna Therapeutics,Moderna Therapeutics,2332,,
Moffitt Clinical Research Network (MCRN),Moffitt Clinical Research Network (MCRN),2333,,
Mohammed M Milhem,Mohammed M Milhem,2334,,
Molecular MD,Molecular MD,2335,,Doctor
Molecular NeuroImaging,Molecular NeuroImaging,2336,,Doctor
Molecular Partners AG,Molecular Partners AG,2337,,Doctor
"Molecular Templates, Inc.","Molecular Templates, Inc.",2338,,Doctor
"Moleculin Biotech, Inc.","Moleculin Biotech, Inc.",2339,,
Molly Walsh,Molly Walsh,2340,,
Mologen AG,Mologen AG,2341,,
"Momenta Pharmaceuticals, Inc.","Momenta Pharmaceuticals, Inc.",2342,,
Monash University,Monash University,2343,,University
Monica Bhatia,Monica Bhatia,2344,,
Monica Mita,Monica Mita,2345,,
"Monika Joshi, MD","Monika Joshi, MD",2346,,Doctor
"Monika Sarkar, MD","Monika Sarkar, MD",2347,,Doctor
Montana State University,Montana State University,2348,,University
Montefiore Medical Center,Montefiore Medical Center,2349,,
Montefiore Medical Center/Albert Einstein College of Medicine,Montefiore Medical Center,2349,Changed,
Monteris Medical,Monteris Medical,2350,,
Montreal Heart Institute,Montreal Heart Institute,2351,,
Morehouse School of Medicine,Morehouse School of Medicine,2352,,
MorphoSys AG,MorphoSys AG,2353,,
"Morphogenesis, Inc.","Morphogenesis, Inc.",2354,,
Morphotek,Morphotek,2355,,
Morten Mau-Soerensen,Morten Mau-Soerensen,2356,,
Mostafa Khairy,Mostafa Khairy,2357,,
"Mount Sinai Hospital, Chicago","Mount Sinai Hospital, Chicago",2358,,
"Mount Sinai Hospital, New York","Mount Sinai Hospital, New York",2359,,
"Mt. Sinai Medical Center, Miami","Mt. Sinai Medical Center, Miami",2360,,
"Muhamed Baljevic, MD","Muhamed Baljevic, MD",2361,,Doctor
Muhammad Furqan,Muhammad Furqan,2362,,
Mukilan Balu,Mukilan Balu,2363,,
MultiPharma,MultiPharma,2364,,
"MultiVir, Inc.","MultiVir, Inc.",2365,,
Multidisciplinary Association for Psychedelic Studies,Multidisciplinary Association for Psychedelic Studies,2366,,
Multiple Myeloma Research Consortium,Multiple Myeloma Research Foundation,2367,Changed,
Multiple Myeloma Research Foundation,Multiple Myeloma Research Foundation,2367,,
Mundipharma-EDO GmbH,Mundipharma-EDO GmbH,2368,,
Murdoch Childrens Research Institute,Murdoch Childrens Research Institute,2369,,
Muscular Dystrophy Association,Muscular Dystrophy Association,2370,,
Musculoskeletal Transplant Foundation,Musculoskeletal Transplant Foundation,2371,,
"Musella Foundation for Brain Tumor Research & Information, Inc.","Musella Foundation for Brain Tumor Research & Information, Inc.",2372,,
"Mustang Bio, Inc.","Mustang Bio, Inc.",2373,,
Mycenax Biotech Inc.,Mycenax Biotech Inc.,2374,,
Mycovia Pharmaceuticals Inc.,Mycovia Pharmaceuticals Inc.,2375,,
Mylan GmbH,Mylan Inc.,2376,Changed,
Mylan Inc.,Mylan Inc.,2376,,
Mylan Pharmaceuticals,Mylan Inc.,2376,Changed,
"MyoKardia, Inc.","MyoKardia, Inc.",2377,,
Myonexus Therapeutics,Myonexus Therapeutics,2378,,
Myovant Sciences GmbH,Myovant Sciences GmbH,2379,,
Myra Reinhardt Foundation,Myra Reinhardt Foundation,2380,,
"Myriad Genetic Laboratories, Inc.","Myriad Genetics, Inc.",2381,Changed,
"Myriad Genetics, Inc.","Myriad Genetics, Inc.",2381,,
NAL Pharmaceuticals,NAL Pharmaceuticals,2382,,
NCIC Clinical Trials Group,NCIC Clinical Trials Group,2383,,
NCM USA,NCM USA,2384,,
"NGM Biopharmaceuticals, Inc","NGM Biopharmaceuticals, Inc",2385,,
NHS Greater Glasgow and Clyde,NHS Greater Glasgow and Clyde,2386,,
NICHD Neonatal Research Network,NICHD Neonatal Research Network,2387,,
NOW Foods,NOW Foods,2388,,
NRG Oncology,NRG Oncology,2389,,
"NS Pharma, Inc.","NS Pharma, Inc.",2390,,
NSABP Foundation Inc,NSABP Foundation Inc,2391,,
Nabriva Therapeutics AG,Nabriva Therapeutics AG,2392,,
"Nadia Bouzidi, PhD","Nadia Bouzidi, PhD",2393,,
Nagasaki University,Nagasaki University,2394,,University
Nahla H Tohami,Nahla H Tohami,2395,,
Naiyer Rizvi,Naiyer Rizvi,2396,,
Najwa Elnachef,Najwa Elnachef,2397,,
"Naked Biome, Inc.","Naked Biome, Inc.",2398,,
"NanOlogy, LLC","NanOlogy, LLC",2399,,
"Nancy Chan, MD","Nancy Chan, MD",2400,,Doctor
"Nancy E. Lane, MD","Nancy E. Lane, MD",2401,,Doctor
"Nancy Lin, MD","Nancy Lin, MD",2402,,Doctor
Nanfang Hospital of Southern Medical University,Nanfang Hospital of Southern Medical University,2403,,University
"Nanjing First Hospital, Nanjing Medical University","Nanjing First Hospital, Nanjing Medical University",2404,,University
Nanjing General Hospital,Nanjing General Hospital,2405,,
Nanjing PLA General Hospital,Nanjing PLA General Hospital,2406,,
"NanoCarrier Co., Ltd.","NanoCarrier Co., Ltd.",2407,,
Nanobiotix,Nanobiotix,2408,,
"NantBioScience, Inc.","NantBioScience, Inc.",2409,,
"NantCell, Inc.","NantCell, Inc.",2410,,
"NantKwest, Inc.","NantKwest, Inc.",2411,,
"NantPharma, LLC","NantPharma, LLC",2412,,
"Napo Pharmaceuticals, Inc.","Napo Pharmaceuticals, Inc.",2413,,
Narrows Institute for Biomedical Research,Narrows Institute for Biomedical Research,2414,,
"Nasser Hanna, M.D.","Nasser Hanna, M.D.",2415,,Doctor
Nassima Ait-Daoud Tiouririne,Nassima Ait-Daoud Tiouririne,2416,,
"Nathan Bahary, MD","Nathan Bahary, MD",2417,,Doctor
Nathan Kline Institute for Psychiatric Research,Nathan Kline Institute for Psychiatric Research,2418,,
"Nathan Pennell, MD, PhD","Nathan Pennell, MD, PhD",2419,,Doctor
Nathan's Battle Foundation,Nathan's Battle Foundation,2420,,
National Alopecia Areata Foundation,National Alopecia Areata Foundation,2421,,
"National Cancer Center Singapore, Singapore","National Cancer Center Singapore, Singapore",2422,,
"National Cancer Center, Japan","National Cancer Center, Japan",2423,,
"National Cancer Center, Korea","National Cancer Center, Korea",2424,,
National Cancer Institute (NCI),National Cancer Institute (NCI),2425,,
"National Cancer Institute, France","National Cancer Institute, France",2426,,
National Center for Advancing Translational Science (NCATS),National Center for Advancing Translational Science (NCATS),2427,,
National Center for Complementary and Integrative Health (NCCIH),National Center for Complementary and Integrative Health (NCCIH),2428,,
National Center for Research Resources (NCRR),National Center for Research Resources (NCRR),2429,,
National Comprehensive Cancer Network,National Comprehensive Cancer Network,2430,,
"National Cord Blood Program, New York Blood Center","National Cord Blood Program, New York Blood Center",2431,,
National Dairy Council,National Dairy Council,2432,,
National Eye Institute (NEI),National Eye Institute (NEI),2433,,
"National Health Research Institutes, Taiwan","National Health Research Institutes, Taiwan",2434,,
"National Health and Medical Research Council, Australia","National Health and Medical Research Council, Australia",2435,,
National Heart Centre Singapore,National Heart Centre Singapore,2436,,
"National Heart, Lung, and Blood Institute (NHLBI)","National Heart, Lung, and Blood Institute (NHLBI)",2437,,
National Hepatology & Tropical Medicine Research Institute,National Hepatology & Tropical Medicine Research Institute,2438,,
National Highway Traffic Safety Administration,National Highway Traffic Safety Administration,2439,,
National Hospital of Sri Lanka,National Hospital of Sri Lanka,2440,,
National Human Genome Research Institute (NHGRI),National Human Genome Research Institute (NHGRI),2441,,
National Institute for Biomedical Imaging and Bioengineering (NIBIB),National Institute for Biomedical Imaging and Bioengineering (NIBIB),2442,,
"National Institute for Health Research, United Kingdom","National Institute for Health Research, United Kingdom",2443,,
"National Institute for Health and Welfare, Finland","National Institute for Health and Welfare, Finland",2444,,
National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),2445,,
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),2446,,
National Institute of Dental and Craniofacial Research (NIDCR),National Institute of Dental and Craniofacial Research (NIDCR),2447,,
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),2448,,
National Institute of Environmental Health Sciences (NIEHS),National Institute of Environmental Health Sciences (NIEHS),2449,,
National Institute of General Medical Sciences (NIGMS),National Institute of General Medical Sciences (NIGMS),2450,,
National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),2451,,
National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),2452,,
National Institute of Nursing Research (NINR),National Institute of Nursing Research (NINR),2453,,
National Institute of Standards and Technology,National Institute of Standards and Technology,2454,,
National Institute on Aging (NIA),National Institute on Aging (NIA),2455,,
National Institute on Alcohol Abuse and Alcoholism (NIAAA),National Institute on Alcohol Abuse and Alcoholism (NIAAA),2456,,
National Institute on Deafness and Other Communication Disorders (NIDCD),National Institute on Deafness and Other Communication Disorders (NIDCD),2457,,
"National Institute on Disability, Independent Living, and Rehabilitation Research","National Institute on Disability, Independent Living, and Rehabilitation Research",2458,,
National Institute on Drug Abuse (NIDA),National Institute on Drug Abuse (NIDA),2459,,
National Institute on Minority Health and Health Disparities (NIMHD),National Institute on Minority Health and Health Disparities (NIMHD),2460,,
National Institutes of Health (NIH),National Institutes of Health (NIH),2461,,
National Institutes of Health Clinical Center (CC),National Institutes of Health Clinical Center (CC),2462,,
National Jewish Health,National Jewish Health,2463,,
National Kidney Foundation,National Kidney Foundation,2464,,
National Marrow Donor Program,National Marrow Donor Program,2465,,
National Multiple Sclerosis Society,National Multiple Sclerosis Society,2466,,
National Network of Depression Centers,National Network of Depression Centers,2467,,
National Pediatric Cancer Foundation,National Pediatric Cancer Foundation,2468,,
National Psoriasis Foundation,National Psoriasis Foundation,2469,,
"National Science and Technology Development Agency, Thailand","National Science and Technology Development Agency, Thailand",2470,,
National Taiwan University,National Taiwan University,2471,,University
National Taiwan University Hospital,National Taiwan University Hospital,2472,,University
"National University Cancer Institute, Singapore","National University Cancer Institute, Singapore",2473,,University
"National University Hospital, Singapore","National University Hospital, Singapore",2474,,University
"National University, Singapore","National University, Singapore",2475,,University
Nationwide Children's Hospital,Nationwide Children's Hospital,2476,,
Nature Cell Co. Ltd.,Nature Cell Co. Ltd.,2477,,
"Naurex, Inc, an affiliate of Allergan plc",Allergan,192,Changed,
Naval Medical Research Center,Naval Medical Research Center,2478,,
Navidea Biopharmaceuticals,Navidea Biopharmaceuticals,2479,,
"Navitor Pharmaceuticals, Inc.","Navitor Pharmaceuticals, Inc.",2480,,
Nazlin Walji,Nazlin Walji,2481,,
Neal Ready,Neal Ready,2482,,
Nebraska Cancer Specialists; Midwest Cancer Center-Legacy,Nebraska Cancer Specialists; Midwest Cancer Center-Legacy,2483,,
Nektar Therapeutics,Nektar Therapeutics,2484,,
Nemours Children's Clinic,Nemours Children's Clinic,2485,,
NeoGenomics Laboratories,NeoGenomics Laboratories,2486,,
"Neon Therapeutics, Inc.","Neon Therapeutics, Inc.",2487,,
"Neos Therapeutics, Inc","Neos Therapeutics, Inc",2488,,
Neovia Oncology Ltd.,Neovia Oncology Ltd.,2489,,
NephCure Accelerating Cures Institute,NephCure Accelerating Cures Institute,2490,,
NephCure Kidney International,NephCure Kidney International,2491,,
"NephroNet, Inc.","NephroNet, Inc.",2492,,
Nerre Therapeutics Ltd.,Nerre Therapeutics Ltd.,2493,,
Nestle HealthCare Nutrition,Nestle HealthCare Nutrition,2494,,
Nestlé Health Science Spain,Nestlé Health Science Spain,2495,,
"NeuPharma, Inc.","NeuPharma, Inc.",2496,,
"Neuraltus Pharmaceuticals, Inc.","Neuraltus Pharmaceuticals, Inc.",2497,,
"Neuraly, Inc.","Neuraly, Inc.",2498,,
"Neurana Pharmaceuticals, Inc.","Neurana Pharmaceuticals, Inc.",2499,,
NeuroDerm Ltd.,NeuroDerm Ltd.,2500,,
NeuroGeneration,NeuroGeneration,2501,,
NeuroNEXT Network,NeuroNEXT Network,2502,,
"NeuroRx, Inc.","NeuroRx, Inc.",2503,,
"NeuroVia, Inc.","NeuroVia, Inc.",2504,,
Neurocrine Biosciences,Neurocrine Biosciences,2505,,
Neurological Emergencies Treatment Trials Network (NETT),Neurological Emergencies Treatment Trials Network (NETT),2506,,
Neurology Center of New England P.C.,Neurology Center of New England P.C.,2507,,
Neurop Inc.,Neurop Inc.,2508,,
"NeuroproteXeon, Inc.","NeuroproteXeon, Inc.",2509,,
"Neuropsychiatric Research Institute, Fargo, North Dakota","Neuropsychiatric Research Institute, Fargo, North Dakota",2510,,
Neuroscience Trials Australia,Neuroscience Trials Australia,2511,,
Neurotech Pharmaceuticals,Neurotech Pharmaceuticals,2512,,
"Neurotrope Bioscience, Inc.","Neurotrope Bioscience, Inc.",2513,,
"Nevakar, LLC","Nevakar, LLC",2514,,
New Approaches to Neuroblastoma Therapy Consortium,New Approaches to Neuroblastoma Therapy Consortium,2515,,
New Discovery LLC,New Discovery LLC,2516,,
"New England Medical Center, Tufts University School of Medicine","New England Medical Center, Tufts University School of Medicine",2517,,University
New England Research Institutes,New England Research Institutes,2518,,
New Hanover Regional Medical Center,New Hanover Regional Medical Center,2519,,
New Jersey Medical School,New Jersey Medical School,2520,,
New York Blood Center,New York Blood Center,2521,,
New York Center for Orthognathic and Maxillofacial Surgery,New York Center for Orthognathic and Maxillofacial Surgery,2522,,
New York Center for Travel and Tropical Medicine,New York Center for Travel and Tropical Medicine,2523,,
New York City Health and Hospitals Corporation,New York City Health and Hospitals Corporation,2524,,
New York MDRU,New York MDRU,2525,,
New York Medical College,New York Medical College,2526,,
New York Presbyterian Hospital,New York Presbyterian Hospital,2527,,
New York State Department of Health,New York State Department of Health,2528,,
New York State Psychiatric Institute,New York State Psychiatric Institute,2529,,
New York University,New York University,2530,,University
New York University School of Medicine,New York University School of Medicine,2531,,University
NewLink Genetics Corporation,NewLink Genetics Corporation,2532,,
Newark Beth Israel Medical Center,Newark Beth Israel Medical Center,2533,,
Newcastle University,Newcastle University,2534,,University
Newcastle-upon-Tyne Hospitals NHS Trust,Newcastle-upon-Tyne Hospitals NHS Trust,2535,,
Next Science TM,Next Science TM,2536,,
"NextCure, Inc.","NextCure, Inc.",2537,,
Nghi Nguyen,Nghi Nguyen,2538,,
Nichol Pharma Services Ltd.,Nichol Pharma Services Ltd.,2539,,
Nicholas Ah Mew,Nicholas Ah Mew,2540,,
Nicholas M Mohr,Nicholas M Mohr,2541,,
Nicholas Salava,Nicholas Salava,2542,,
Nicholas Schott,Nicholas Schott,2543,,
"Nicolaas Bohnen, MD, PhD","Nicolaas Bohnen, MD, PhD",2544,,Doctor
Nicole K Brogden,Nicole K Brogden,2545,,
Nicole Lamanna,Nicole Lamanna,2546,,
Niconovum USA,Niconovum USA,2547,,
"Nicox Ophthalmics, Inc.","Nicox Ophthalmics, Inc.",2548,,
Nigar Dursun,Nigar Dursun,2549,,
Nightstar Therapeutics,Nightstar Therapeutics,2550,,
Niharika Mettu,Niharika Mettu,2551,,
Nihon Medi Physics,Nihon Medi Physics,2552,,
Nilogen Oncosystems,Nilogen Oncosystems,2553,,
Nimedical,Nimedical,2554,,
Nina Bhardwaj,Nina Bhardwaj,2555,,
Nine Girls Ask,Nine Girls Ask,2556,,
"Nippon Shinyaku Co., Ltd.","Nippon Shinyaku Co., Ltd.",2557,,
Nitto Denko Corporation,Nitto Denko Corporation,2558,,
Nivagen Pharmaceuticals Inc.,Nivagen Pharmaceuticals Inc.,2559,,
No More Kids With Cancer,No More Kids With Cancer,2560,,
NoNO Inc.,NoNO Inc.,2561,,
"Noah Hahn, M.D.","Noah Hahn, M.D.",2562,,Doctor
Noah Merin,Noah Merin,2563,,Doctor
Nobilis Therapeutics Inc.,Nobilis Therapeutics Inc.,2564,,
Noble Oil Services,Noble Oil Services,2565,,
Noguchi Memorial Institute for Medical Research,Noguchi Memorial Institute for Medical Research,2566,,
"Nohla Therapeutics, Inc.","Nohla Therapeutics, Inc.",2567,,
Nordic Nanovector,Nordic Nanovector,2568,,
Norgine,Norgine,2569,,
North American Spine Society,North American Spine Society,2570,,
North Carolina Translational and Clinical Sciences Institute,North Carolina Translational and Clinical Sciences Institute,2571,,
North Central Cancer Treatment Group,North Central Cancer Treatment Group,2572,,
North Dakota State University,North Dakota State University,2573,,University
North District Hospital,North District Hospital,2574,,
North Texas Veterans Healthcare System,North Texas Veterans Healthcare System,2575,,
NorthSea Therapeutics B.V.,NorthSea Therapeutics B.V.,2576,,
NorthShore University HealthSystem,NorthShore University HealthSystem Research Institute,2577,Changed,University
NorthShore University HealthSystem Research Institute,NorthShore University HealthSystem Research Institute,2577,,University
Northeast ALS Consortium,Northeast ALS Consortium,2578,,
Northeastern Ohio Radiology Research and Education Fund,Northeastern Ohio Radiology Research and Education Fund,2579,,
Northern Biologics Inc.,Northern Biologics Inc.,2580,,
Northern California Institute of Research and Education,Northern California Institute of Research and Education,2581,,
Northwell Health,Northwell Health,2582,,
Northwest Biotherapeutics,Northwest Biotherapeutics,2583,,
Northwestern University,Northwestern University,2584,,University
Northwestern University Feinberg School of Medicine,Northwestern University Feinberg School of Medicine,2585,,University
Norwegian Cancer Society,Norwegian Cancer Society,2586,,
Norwegian University of Science and Technology,Norwegian University of Science and Technology,2587,,University
NovImmune SA,NovImmune SA,2588,,
"NovMetaPharma Co., Ltd.","NovMetaPharma Co., Ltd.",2589,,
Nova Immunotherapeutics Limited,Nova Immunotherapeutics Limited,2590,,
Nova Scotia Health Authority,Nova Scotia Health Authority,2591,,
Nova Southeastern University,Nova Southeastern University,2592,,University
"NovaDigm Therapeutics, Inc.","NovaDigm Therapeutics, Inc.",2593,,
Novadaq Technologies Inc.,Novadaq Technologies Inc.,2594,,
Novaliq GmbH,Novaliq GmbH,2595,,
"Novan, Inc.","Novan, Inc.",2596,,
Novartis,Novartis,2597,,
Novartis Institutes for BioMedical Research,Novartis,2597,Changed,
Novartis Pharmaceuticals,Novartis,2597,Changed,
Novavax,Novavax,2598,,
Novella Clinical,Novella Clinical,2599,,
"Noven Pharmaceuticals, Inc.","Noven Pharmaceuticals, Inc.",2600,,
"Novira Therapeutics, Inc.","Novira Therapeutics, Inc.",2601,,
"Novita Pharmaceuticals, Inc.","Novita Pharmaceuticals, Inc.",2602,,
Novo Nordisk A/S,Novo Nordisk A/S,2603,,
NovoCure Ltd.,NovoCure Ltd.,2604,,
Novotech (Australia) Pty Limited,Novotech (Australia) Pty Limited,2605,,
"Novoteris, LLC","Novoteris, LLC",2606,,
Novum Pharmaceutical Research Services,Novum Pharmaceutical Research Services,2607,,
NuCana plc,NuCana plc,2608,,
NuSirt Biopharma,NuSirt Biopharma,2609,,
"NuTech Medical, Inc","NuTech Medical, Inc",2610,,
Nutrinia,Nutrinia,2611,,
NuvOx Pharma Pty Ltd,NuvOx Pharma Pty Ltd,2612,,
"Nuvelution TS Pharma, Inc.","Nuvelution TS Pharma, Inc.",2613,,
"Nuventra, Inc.","Nuventra, Inc.",2614,,
"OBI Pharma, Inc","OBI Pharma, Inc",2615,,
OCT Clinical Trials,OCT Clinical Trials,2616,,
OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,2617,,
ONO Pharmaceutical Co.,ONO Pharmaceutical Co.,2618,,
ONY,ONY,2619,,
"OPKO Health, Inc.","OPKO Health, Inc.",2620,,
OPKO Ireland Global Holdings Ltd.,OPKO Ireland Global Holdings Ltd.,2621,,
"ORA, Inc.","ORA, Inc.",2622,,
OSF Healthcare System,OSF Healthcare System,2623,,
OSI Pharmaceuticals,OSI Pharmaceuticals,2624,,
Oak Crest Institute of Science,Oak Crest Institute of Science,2625,,
Obafemi Awolowo University,Obafemi Awolowo University,2626,,University
"Oblato, Inc.","Oblato, Inc.",2627,,
ObsEva SA,ObsEva SA,2628,,
Ochsner Health System,Ochsner Health System,2629,,
Octapharma,Octapharma,2630,,
Ocugen,Ocugen,2631,,
Ocular Imaging Research and Reading Center,Ocular Imaging Research and Reading Center,2632,,
Ocular Immunology and Uveitis Foundation,Ocular Immunology and Uveitis Foundation,2633,,
Ocular Technologies SARL,Ocular Technologies SARL,2634,,
Odense University Hospital,Odense University Hospital,2635,,University
"Odonate Therapeutics, LLC","Odonate Therapeutics, LLC",2636,,
Office of Dietary Supplements (ODS),Office of Dietary Supplements (ODS),2637,,
Office of Rare Diseases (ORD),Office of Rare Diseases (ORD),2638,,
Office of Research on Women's Health (ORWH),Office of Research on Women's Health (ORWH),2639,,
Ogeda S.A.,Ogeda S.A.,2640,,
Ohio State University,Ohio State University,2641,,University
Ohio State University Comprehensive Cancer Center,Ohio State University Comprehensive Cancer Center,2642,,University
Ohio State University Wexner Medical Center,Ohio State University Wexner Medical Center,2643,,University
OhioHealth,OhioHealth,2644,,
OhioHealth Research Institute,OhioHealth,2644,Changed,
Oklahoma Medical Research Foundation,Oklahoma Medical Research Foundation,2645,,
Olatec Therapeutics LLC,Olatec Therapeutics LLC,2646,,
Oleg Levada,Oleg Levada,2647,,
